"","Taxa","Identifier","Publication.Date.Authorship","Origin","Study.site","LatitudeSS","LongitudeSS","Year.of.treatment","In.situ.or.Ex.situ","Treatment.group.size","Life.Stage","Intervention.category.1","Treatment.used.1","Specific.treatment.used.1","Intervention.category.2","Treatment.used.2","Specific.treatment.used.2","Duration.of.intervention","Long.term.monitoring","Habitat.or.Individual","Scalability","Efficacy.Matrix","Efficacy.of.intervention","Trend.in.efficacy.score","Adverse.Effects","Usability","Therapeutic.or.Prophylactic","Dosage","Comments.Extras","Year.of.publication","Intervention.category.1.itra","PhyloName","Genus","Family","Order","SVLMx","Microhabitat","ClutchMn","Activity","Latitude","Climate","Habitat","TaxaGroup"
"276","Pseudacris triseriata",208,"2007 - Retallick & Miera","Arizona State University, Arizona, USA","Arizona State University, Arizona, USA","","",2005,"Ex situ",9,"Adult","Climate","Temperature","Increased temperature",NA,NA,NA,5,"N","I","N","Prevelance matrix",4,NA,2,1,"Therapeutic","32°C","While the study observed the effects after 164 days, they only reported the infection prevelance after 79 days. Prevelance matrix was used. Since this treatment was not the primary focus of the paper, the experimental design was not detailed with little indiviudal information about the treatment. ",2007,"Climate","Pseudacris triseriata","Pseudacris","Hylidae","Anura",39.5,"Terrestrial",800,"Nocturnal",41.0534664603,"Temperate","Terrestrial","Hylidae"
"277","Pseudophryne corroboree",332,"2015 - Brannelly et al","Amphibian Research Centre, Australia","James Cook University, Australia","","",NA,"Ex situ",10,"Adult","Climate","Humidity","Decreased humidity",NA,NA,NA,10,"N","H","N","Infection matrix",2,NA,0,0,"Therapeutic",NA,"This treatment dried the environment and required a controlled, daily baths and a rinse  in water for 5 minutes each. ",2015,"Climate","Pseudophryne corroboree","Pseudophryne","Myobatrachidae","Anura",31,"Terrestrial",26.5,NA,-36.1872900779,"Temperate","Terrestrial","Other"
"278","Pseudophryne corroboree",206,"2015 - Brannelly, Skerratt, Berger","Amphibian Research Centre, Australia","James Cook University, Australia","","",NA,"Ex situ",6,"Adult","Chemical","Antifungal","Itraconazole","Chemical","Other","Electrolyte",7,"N","I","Y","Infection matrix",3,NA,0,0,"Therapeutic","0.5 μg/mL","Infection matrix was used to determine success. ",2015,"Itraconazole","Pseudophryne corroboree","Pseudophryne","Myobatrachidae","Anura",31,"Terrestrial",26.5,NA,-36.1872900779,"Temperate","Terrestrial","Other"
"279","Pseudophryne corroboree",207,"2015 - Brannelly, Skerratt, Berger","Amphibian Research Centre, Australia","James Cook University, Australia","","",NA,"Ex situ",6,"Adult","Chemical","Antifungal","Voriconazole","Chemical","Other","Electrolyte",7,"N","I","Y","Infection matrix",2,NA,0,0,"Therapeutic","1.25 μg/mL","Infection matrix was used to determine success. ",2015,"Other chemical","Pseudophryne corroboree","Pseudophryne","Myobatrachidae","Anura",31,"Terrestrial",26.5,NA,-36.1872900779,"Temperate","Terrestrial","Other"
"280","Pseudophryne corroboree",331,"2015 - Brannelly et al","Amphibian Research Centre, Australia","James Cook University, Australia","","",NA,"Ex situ",10,"Adult","Climate","Humidity","Decreased humidity",NA,NA,NA,10,"N","H","N","Infection matrix",1,NA,0,0,"Therapeutic",NA,"This treatment dried the environment and required a controlled, daily application of water to the individuals. ",2015,"Climate","Pseudophryne corroboree","Pseudophryne","Myobatrachidae","Anura",31,"Terrestrial",26.5,NA,-36.1872900779,"Temperate","Terrestrial","Other"
"281","Rana boylii",191,"2010 - Bowerman et al","Southern Illinois University, Illinois, USA",NA,"","",NA,"Ex situ",7,"Juvenile","Chemical","Antifungal","Terbinafine hydrochloride","Chemical","Other","Ethanol",5,"N","I","Y","Prevelance matrix",0,NA,0,2,"Therapeutic","0.0005%","This paper did not provide any zoospore or prevelance data other than stating that the infections had not been cleared from the groups treated. Prevelance matrix was used based on the table with results, but since no additional information was provided on whether all subjects cleared the infection nor the timelines, this received a 2 for utility.",2010,"Other chemical","Rana boylii","Rana","Ranidae","Anura",82,"Aquatic",750,"Day/Night",40.0877886465,"Temperate","Aquatic","Ranidae"
"282","Rana boylii",227,"2007 - Davidson et al ","Garcia River, California, USA",NA,"","",2002,"Ex situ",7,"Juvenile","Chemical","Insecticide","Carbaryl",NA,NA,NA,1,"N","I","Y","Prevelance matrix",0,NA,0,0,"Prophylactic","0.48 mg/L","This study was designed for measuring susceptibility of Bd after exposure to a commonly used pesticide. Of all the controls (including exposure to Bd and non-exposure) and the treatment group were randomly sampled for presence of Bd. The only positive Bd test  was from a subject in the treatment group. Using the prevelance matrix while the paper does not provide more detail regarding this portion of the study, it was detemined that this would recevive a 0 for efficacy.",2007,"Other chemical","Rana boylii","Rana","Ranidae","Anura",82,"Aquatic",750,"Day/Night",40.0877886465,"Temperate","Aquatic","Ranidae"
"283","Rana boylii",190,"2010 - Bowerman et al","Southern Illinois University, Illinois, USA",NA,"","",NA,"Ex situ",7,"Juvenile","Chemical","Antifungal","Terbinafine hydrochloride","Chemical","Other","Ethanol",5,"N","I","Y","Prevelance matrix",4,NA,0,2,"Therapeutic","0.005%","This paper did not provide any zoospore or prevelance data other than stating that the infections had been cleared from the groups treated. Prevelance matrix was used based on the table with results, but since no additional information was provided on whether all subjects cleared the infection nor the timelines, this received a 2 for utility.",2010,"Other chemical","Rana boylii","Rana","Ranidae","Anura",82,"Aquatic",750,"Day/Night",40.0877886465,"Temperate","Aquatic","Ranidae"
"284","Rana cascadae",324,"2010 - Searle et al","Deschutes County, Oregon, USA","Benton County, Oregon, USA","","",NA,"Ex situ",40,"Larvae","Climate","Radiation","UV-B",NA,NA,NA,1,"N","H","N","Survivability matrix",4,NA,0,1,"Prophylactic","5% & JEL197","This trail was with low UV-B exposure and Bd strain JEL197",2010,"Climate","Rana cascadae","Rana","Ranidae","Anura",76,"Semi-aquatic",550,"Diurnal",45.2347651915,"Temperate","Aquatic","Ranidae"
"285","Rana cascadae",325,"2010 - Searle et al","Deschutes County, Oregon, USA","Benton County, Oregon, USA","","",NA,"Ex situ",40,"Larvae","Climate","Radiation","UV-B",NA,NA,NA,1,"N","H","N","Survivability matrix",0,NA,0,1,"Prophylactic","80% & JEL215","This trail was with ambient UV-B exposure and Bd strain JEL215",2010,"Climate","Rana cascadae","Rana","Ranidae","Anura",76,"Semi-aquatic",550,"Diurnal",45.2347651915,"Temperate","Aquatic","Ranidae"
"286","Rana cascadae",327,"2010 - Searle et al","Deschutes County, Oregon, USA","Benton County, Oregon, USA","","",NA,"Ex situ",60,"Larvae","Climate","Radiation","UV-B",NA,NA,NA,1,"N","H","N","Survivability matrix",0,NA,0,1,"Prophylactic","1.3 to 1.9 μW/cm^2 & JEL274","This trail was with ambient UV-B exposure and Bd strain JEL274",2010,"Climate","Rana cascadae","Rana","Ranidae","Anura",76,"Semi-aquatic",550,"Diurnal",45.2347651915,"Temperate","Aquatic","Ranidae"
"287","Rana cascadae",261,"2017 - Jones et al","Oregon, USA","Oregon State University, Oregon, USA","","",2013,"Ex situ",NA,"Juvenile","Chemical","Other","Ethanol",NA,NA,NA,14,"N","H","Y","Infection matrix",0,NA,0,1,"Therapeutic","26.5 μL","This was an ethanol vessel control, but since it was an application of Chemical, it was considered.  ince no treatment group size was provided and the results were deduced from a figure, this received a 1 for utility. Infection matrix was used. ",2017,"Other chemical","Rana cascadae","Rana","Ranidae","Anura",76,"Semi-aquatic",550,"Diurnal",45.2347651915,"Temperate","Aquatic","Ranidae"
"288","Rana cascadae",302,"2015 - Buck et al","Cascade Range, Oregon, USA","University of Pittsburgh, Pennsylvania, USA","","",2012,"Ex situ",600,"Metamorph","Chemical","Insecticide","Insecticide mix",NA,NA,NA,5,"N","I","Y","Infection matrix",0,NA,0,0,"Prophylactic","20 ppb","",2015,"Other chemical","Rana cascadae","Rana","Ranidae","Anura",76,"Semi-aquatic",550,"Diurnal",45.2347651915,"Temperate","Aquatic","Ranidae"
"289","Rana cascadae",303,"2015 - Buck et al","Cascade Range, Oregon, USA","University of Pittsburgh, Pennsylvania, USA","","",2012,"Ex situ",600,"Metamorph","Chemical","Insecticide","Insecticide mix",NA,NA,NA,5,"N","I","Y","Infection matrix",0,NA,0,0,"Prophylactic","4 ppb","",2015,"Other chemical","Rana cascadae","Rana","Ranidae","Anura",76,"Semi-aquatic",550,"Diurnal",45.2347651915,"Temperate","Aquatic","Ranidae"
"290","Rana cascadae",102,"2015 - Hardy et al","Carter Meadow, Lassen National Forest, California, USA","Carter Meadow, Lassen National Forest, California, USA","40°39'39""N","121°40'13""W",2012,"In situ",30,"Juvenile","Chemical","Antifungal","Itraconazole",NA,NA,NA,4,"N","I","Y","Infection matrix",4,NA,0,0,"Therapeutic","0.01%","Surveys were conducted a year after treatment, but due to the limited data it did not provide this research sufficient information to assess efficacy of treatment, thus efficacy resulted from the 5 wk post-treatment information. Data collection 3 and 5 wks post-treatment showed that 13/28 treated indiviudals were re-captured, and that 0/13 tested positive for Bd and zoospores were not detected. Using the infection matrix, this received a 4. ",2015,"Itraconazole","Rana cascadae","Rana","Ranidae","Anura",76,"Semi-aquatic",550,"Diurnal",45.2347651915,"Temperate","Aquatic","Ranidae"
"291","Rana cascadae",323,"2010 - Searle et al","Deschutes County, Oregon, USA","Benton County, Oregon, USA","","",NA,"Ex situ",40,"Larvae","Climate","Radiation","UV-B",NA,NA,NA,1,"N","H","N","Survivability matrix",1,NA,0,1,"Prophylactic","80% & JEL197","This trail was with ambient UV-B exposure and Bd strain JEL197. This study's control was a group that had UV+ treatment and a Bd negative ",2010,"Climate","Rana cascadae","Rana","Ranidae","Anura",76,"Semi-aquatic",550,"Diurnal",45.2347651915,"Temperate","Aquatic","Ranidae"
"292","Rana cascadae",297,"2015 - Buck et al","Cascade Range, Oregon, USA","University of Pittsburgh, Pennsylvania, USA","","",2012,"Ex situ",600,"Larvae","Chemical","Herbicide","Herbicide mix",NA,NA,NA,42,"N","H","N","Infection matrix",0,NA,0,0,"Prophylactic","4 ppb","",2015,"Other chemical","Rana cascadae","Rana","Ranidae","Anura",76,"Semi-aquatic",550,"Diurnal",45.2347651915,"Temperate","Aquatic","Ranidae"
"293","Rana cascadae",298,"2015 - Buck et al","Cascade Range, Oregon, USA","University of Pittsburgh, Pennsylvania, USA","","",2012,"Ex situ",600,"Larvae","Chemical","Insecticide","Insecticide mix",NA,NA,NA,14,"N","H","N","Infection matrix",1,NA,0,0,"Prophylactic","20 ppb","",2015,"Other chemical","Rana cascadae","Rana","Ranidae","Anura",76,"Semi-aquatic",550,"Diurnal",45.2347651915,"Temperate","Aquatic","Ranidae"
"294","Rana cascadae",259,"2017 - Jones et al","Oregon, USA","Oregon State University, Oregon, USA","","",2013,"Ex situ",NA,"Juvenile","Chemical","Herbicide","Herbicide mix",NA,NA,NA,14,"N","H","Y","Infection matrix",1,NA,0,1,"Therapeutic","25 μg/L.","This study created a water mixture with: atrazine; acetochlor; glyphosate; 2,4-D. Since no treatment group size was provided and the results were deduced from a figure, this received a 1 for utility. Infection matrix was used. ",2017,"Other chemical","Rana cascadae","Rana","Ranidae","Anura",76,"Semi-aquatic",550,"Diurnal",45.2347651915,"Temperate","Aquatic","Ranidae"
"295","Rana cascadae",260,"2017 - Jones et al","Oregon, USA","Oregon State University, Oregon, USA","","",2013,"Ex situ",NA,"Juvenile","Chemical","Insecticide","Insecticide mix",NA,NA,NA,14,"N","H","Y","Infection matrix",0,NA,0,1,"Therapeutic","25 μg/L.","This study created a water mixture with: carbaryl; chlorpyrifos; endosulfan; permethrin. Since no treatment group size was provided and the results were deduced from a figure, this received a 1 for utility. Infection matrix was used. ",2017,"Other chemical","Rana cascadae","Rana","Ranidae","Anura",76,"Semi-aquatic",550,"Diurnal",45.2347651915,"Temperate","Aquatic","Ranidae"
"296","Rana cascadae",300,"2015 - Buck et al","Cascade Range, Oregon, USA","University of Pittsburgh, Pennsylvania, USA","","",2012,"Ex situ",600,"Metamorph","Chemical","Herbicide","Herbicide mix",NA,NA,NA,5,"N","I","Y","Infection matrix",0,NA,0,0,"Prophylactic","40 ppb","",2015,"Other chemical","Rana cascadae","Rana","Ranidae","Anura",76,"Semi-aquatic",550,"Diurnal",45.2347651915,"Temperate","Aquatic","Ranidae"
"297","Rana cascadae",301,"2015 - Buck et al","Cascade Range, Oregon, USA","University of Pittsburgh, Pennsylvania, USA","","",2012,"Ex situ",600,"Metamorph","Chemical","Herbicide","Herbicide mix",NA,NA,NA,5,"N","I","Y","Infection matrix",1,NA,0,0,"Prophylactic","4 ppb","",2015,"Other chemical","Rana cascadae","Rana","Ranidae","Anura",76,"Semi-aquatic",550,"Diurnal",45.2347651915,"Temperate","Aquatic","Ranidae"
"298","Rana cascadae",228,"2006 - Garcia, Romansic, Blaustein","Cascade Range, Oregon, USA","Oregon State University, Oregon, USA","","",2005,"Ex situ",30,"Metamorph","Climate","Radiation","UV-B",NA,NA,NA,3,"N","I","N","Survivability matrix",1,NA,0,1,"Prophylactic","16.2 - 17.9 µW cm^–2","This study is mostly concerned with the potential negative effects UV-B exposure has on survivability and as an precurser and increased potential of Bd infections. Exposure to UV-B was prior to infection with BD. Since the results were only provided as mortality and had to be deduced from the figures (no supplementary data), this received a 1 for utility. The survivability matrix was used to assess the differences between the Bd infected with no UV-B exposure and the UV-B and Bd exposure. ",2006,"Climate","Rana cascadae","Rana","Ranidae","Anura",76,"Semi-aquatic",550,"Diurnal",45.2347651915,"Temperate","Aquatic","Ranidae"
"299","Rana cascadae",296,"2015 - Buck et al","Cascade Range, Oregon, USA","University of Pittsburgh, Pennsylvania, USA","","",2012,"Ex situ",600,"Larvae","Chemical","Herbicide","Herbicide mix",NA,NA,NA,42,"N","H","N","Infection matrix",1,NA,0,0,"Prophylactic","40 ppb","",2015,"Other chemical","Rana cascadae","Rana","Ranidae","Anura",76,"Semi-aquatic",550,"Diurnal",45.2347651915,"Temperate","Aquatic","Ranidae"
"300","Rana cascadae",299,"2015 - Buck et al","Cascade Range, Oregon, USA","University of Pittsburgh, Pennsylvania, USA","","",2012,"Ex situ",600,"Larvae","Chemical","Insecticide","Insecticide mix",NA,NA,NA,42,"N","H","N","Infection matrix",0,NA,0,0,"Prophylactic","2 ppb","",2015,"Other chemical","Rana cascadae","Rana","Ranidae","Anura",76,"Semi-aquatic",550,"Diurnal",45.2347651915,"Temperate","Aquatic","Ranidae"
"301","Rana cascadae",326,"2010 - Searle et al","Deschutes County, Oregon, USA","Benton County, Oregon, USA","","",NA,"Ex situ",60,"Larvae","Climate","Radiation","UV-B",NA,NA,NA,1,"N","H","N","Survivability matrix",4,NA,0,1,"Prophylactic","5% & JEL215","This trail was with low UV-B exposure and Bd strain JEL215",2010,"Climate","Rana cascadae","Rana","Ranidae","Anura",76,"Semi-aquatic",550,"Diurnal",45.2347651915,"Temperate","Aquatic","Ranidae"
"302","Rana cascadae",2,"2022 - Cook et al ","California, USA","Carter Meadow, Old Cow Creek Meadow, and Childs Meadow, California, USA","40°39'39""N","121°40'13""W",2018,"In situ",97,"Juvenile","Chemical","Antifungal","Itraconazole",NA,NA,NA,6,"Y","I","Y","Infection matrix",2,NA,0,0,"Therapeutic","0.000025%","The results were averaged across all studysites in the paper. Approx. 10 months (~304 d) post-intervention, recaptures yielded at least a 4.4 times higher survival than the controls. Because this paper calculated Bd load, prevelance, at 6 days post intervention treatment and 10 months later to examine overwintering survivabiliy, the infection intensity matrix was used and after being log transformed, the difference was ~1 unit of measurement. Prevelance initially dropped from ~0.61 to ~0.27 (~55% difference), and 10 months later it was ~0.46 (~70% difference from the post-treatment prevelence 0.27 and ~25% from the pre-intervention 0.61). Since the treatment application was short and long term effects were seen, it received a Y.  ",2022,"Itraconazole","Rana cascadae","Rana","Ranidae","Anura",76,"Semi-aquatic",550,"Diurnal",45.2347651915,"Temperate","Aquatic","Ranidae"
"303","Rana muscosa",71,"2012 - Woodhams et al ","Sixty Lake Basin, Sierra Nevada, California, USA","James Maddison University, Virginia, USA","","",2007,"Ex situ",20,"Adult","Bioaugmentation","Commensal Bacteria","Pedobacter cryoconitis",NA,NA,NA,1,"N","I","Y","Infection matrix",1,NA,0,0,"Therapeutic","Pedobacter cryoconitis","Despite 50% of the mortality of the group, this was still higher than the control group's mortality rate. There was only an approximate 0.5 difference between the control and this group's zoospore count. The figure has the days post intervention treatment begining at -5, and while on day 1 post-treatment there was a large difference between the control and this group, it was determined that it did not reflect the effects of the treatment and so it was not accounted for. The infection matrix was used. ",2012,"Bioaugmentation","Rana muscosa","Rana","Ranidae","Anura",89,"Aquatic",226,"Nocturnal",35.389695277,"Temperate","Aquatic","Ranidae"
"304","Rana muscosa",58,"2010 - Stice & Briggs","Sequoia Kings National Park, California, USA","University of California Berkley, California, USA","","",2003,"Ex situ",20,"Juvenile","Bioaugmentation","Adjuvant","Adjuvant","Bioaugmentation","Dead Pathogen Exposure","Dead Bd culture",2,"N","I","Y","Infection matrix",0,NA,2,0,"Prophylactic","0.05 cm3","Immunization with a killed chytrid adjuvant mixture would lead to lower rates of infection. This treatment used formalin-killed chytrid cultures combined into  Freunds Complete Adjuvant/Freunds Incomplete Adjuvant. There was no reduction in zoospore count for the population. Approximately 40% of the population died prior to the termination of the study. Infection matrix was used. ",2010,"Bioaugmentation","Rana muscosa","Rana","Ranidae","Anura",89,"Aquatic",226,"Nocturnal",35.389695277,"Temperate","Aquatic","Ranidae"
"305","Rana muscosa",57,"2010 - Stice & Briggs","Sequoia Kings National Park, California, USA","University of California Berkley, California, USA","","",2003,"Ex situ",20,"Juvenile","Bioaugmentation","Adjuvant","Adjuvant",NA,NA,NA,2,"N","I","Y","Infection matrix",0,NA,2,0,"Prophylactic","0.05 cm3","Immunization with a killed chytrid adjuvant mixture would lead to lower rates of infection. This treatment used only Freunds Complete Adjuvant/Freunds Incomplete Adjuvant. There was no reduction in zoospore count for the population. Approximately 35% of the population died prior to the termination of the study. Infection matrix was used. ",2010,"Bioaugmentation","Rana muscosa","Rana","Ranidae","Anura",89,"Aquatic",226,"Nocturnal",35.389695277,"Temperate","Aquatic","Ranidae"
"306","Rana muscosa",38,"2009 - Harris et al (a)","University of California, Berkeley, California, USA","University of California, Berkeley, California, USA","","",2008,"Ex situ",6,"Juvenile","Bioaugmentation","Commensal Bacteria","Janthinobacterium lividum",NA,NA,NA,2,"N","I","Y","Survivability matrix",4,NA,0,0,"Prophylactic","Janthinobacterium lividum","It was not tested whether J. lividum could be transferred to naïve frogs and thus the resources to grow and innoculate the indiviudals amphibians is not sustainable for large-scale application. Survivabiliy matrix was used and since the study reported no deaths  at any point during the 20 weeks of the study with the Bacteria + Bd group, this received a 4. In addition, there were no detected zoospores in the group. ",2009,"Bioaugmentation","Rana muscosa","Rana","Ranidae","Anura",89,"Aquatic",226,"Nocturnal",35.389695277,"Temperate","Aquatic","Ranidae"
"307","Rana muscosa",72,"2012 - Woodhams et al ","Sixty Lake Basin, Sierra Nevada, California, USA","James Maddison University, Virginia, USA","","",2007,"Ex situ",10,"Adult","Chemical","Antifungal","Itraconazole",NA,NA,NA,11,"N","I","Y","Prevelance matrix",3,NA,3,0,"Therapeutic","100 mg l−1","Only 3 frogs survived until the end of the treatment and they were found to have cleared Bd by day 60 post-treatment. Of the 7 that died, only 2 were found to be Bd positive. Due to the high rate of mortality and the zoospore count reflecting only those surviving indiviudals, the prevelance matrix was determined to be the most appropriate refelction of the success of the treatment throughout the small population tested, thus 8/10 indiviudals tested negative for Bd. ",2012,"Itraconazole","Rana muscosa","Rana","Ranidae","Anura",89,"Aquatic",226,"Nocturnal",35.389695277,"Temperate","Aquatic","Ranidae"
"308","Rana temporaria",62,"2009 - Schmidt et al","Switzerland","University of Zurich, Switzerland","","",NA,"Ex situ",10,"Larvae","Chemical","Disinfectant","Vikron S",NA,NA,NA,21,"N","H","Y","Survivability matrix",3,NA,0,2,"Therapeutic","10 gl−1 in 0.096 L of water","This group had a low dosage consentration.  Results were interpreted from the figures which did not provide detailed information about the overall survivability of the individuals. Survivability matrix was used, and ~98% survival rate was calculated. This was deemed scalable because the introduction of this dosage is possible into an ecosystem through repeated foot-traffic and equipment sterilization. ",2009,"Other chemical","Rana temporaria","Rana","Ranidae","Anura",111,"Terrestrial",2382.5,"Day/Night",56.9743602285,"Temperate","Terrestrial","Ranidae"
"309","Rana temporaria",60,"2009 - Schmidt et al","Switzerland","University of Zurich, Switzerland","","",NA,"Ex situ",10,"Larvae","Chemical","Disinfectant","Bleach",NA,NA,NA,21,"N","H","Y","Survivability matrix",2,NA,1,2,"Therapeutic","2% in 0.096 L of water","This group had a low dosage consentration. Slight effects on zooplankton survivability in the habitat. Results were interpreted from the figures which did not provide detailed information about the overall survivability of the individuals. Survivability matrix was used, and ~67.5% survival rate was calculated. This was deemed scalable because the introduction of this dosage is possible into an ecosystem through repeated foot-traffic and equipment sterilization. ",2009,"Other chemical","Rana temporaria","Rana","Ranidae","Anura",111,"Terrestrial",2382.5,"Day/Night",56.9743602285,"Temperate","Terrestrial","Ranidae"
"310","Rana temporaria",61,"2009 - Schmidt et al","Switzerland","University of Zurich, Switzerland","","",NA,"Ex situ",10,"Larvae","Chemical","Disinfectant","Vikron S",NA,NA,NA,21,"N","H","Y","Survivability matrix",3,NA,0,2,"Therapeutic","10 gl−1 in 0.06 L of water","This group had a high dosage consentration. Results were interpreted from the figures which did not provide detailed information about the overall survivability of the individuals. Survivability matrix was used, and ~84% survival rate was calculated. ",2009,"Other chemical","Rana temporaria","Rana","Ranidae","Anura",111,"Terrestrial",2382.5,"Day/Night",56.9743602285,"Temperate","Terrestrial","Ranidae"
"311","Rana temporaria",59,"2009 - Schmidt et al","Switzerland","University of Zurich, Switzerland","","",NA,"Ex situ",10,"Larvae","Chemical","Disinfectant","Bleach",NA,NA,NA,21,"N","H","Y",NA,NA,NA,3,3,"Therapeutic","2% in 0.06 L of water","This group had a high dosage consentration. Treatment caused 100% mortality. Thus, the results were not interpretable. ",2009,"Other chemical","Rana temporaria","Rana","Ranidae","Anura",111,"Terrestrial",2382.5,"Day/Night",56.9743602285,"Temperate","Terrestrial","Ranidae"
"312","Ranoidea aurea",210,"2012 - Klop-Toker et al","Kooragang Island, Australia","Kooragang Island, Australia","32°51'50""S","151°44'23""E",2015,"In situ",60000,"Larvae","Translocation","Introduction","Created habitat mosaic","Chemical","Sodium","Increased salinity",180,"Y","H","Y","Infection matrix",0,"No change",0,2,"Prophylactic","2.5- 3 ppt","The study did not provide information on whether this location was Bd-naïve. There was no additional information about the zoospore count or prevelance other than the ""not able to lower chytrid infection levels"". ",2012,"Translocation","Litoria aurea","Ranoidea","Hylidae","Anura",108,"Semi-aquatic",6821,"Day/Night",-34.6130868005,"Temperate","Aquatic","Hylidae"
"313","Ranoidea aurea",137,"2015 - Stockwell et al (b)","Hunter Wetland Centre, Australia","Hunter Wetland Centre, Australia","32°52'34""S","151°41'45""E",NA,"In situ",240,"Larvae","Chemical","Sodium","Sodium chloride","Habitat","Fencing","Fencing",365,"N","H","Y","Prevelance matrix",3,NA,0,2,"Prophylactic","2 ppt","~63% difference between prevelance of Bd infected indiviuals at the 12 month data collection, but the overall prevelance in the population was approximately 14%.  Prevelance matrix was used and revceived a 3. While this was a long term monitor, data was only collected at months 1, 4, and 12. The results were interepreted from a figure. This received a yes for scalabiliy since the application of NaCI was once, and lasted for at least one year. Since there was no control of either infected individuals or and extant population, this received a 3 for utility. ",2015,"Other chemical","Litoria aurea","Ranoidea","Hylidae","Anura",108,"Semi-aquatic",6821,"Day/Night",-34.6130868005,"Temperate","Aquatic","Hylidae"
"314","Ranoidea aurea",167,"2018 - Clulow et al","University of Newcastle, Australia","University of Newcastle, Australia","","",2013,"Ex situ",224,"Juvenile","Chemical","Sodium","Natural sea salt",NA,NA,NA,NA,"Y","H","N","Infection matrix",4,NA,0,0,"Therapeutic","4 ppt","The duration of intervention was reported as NA  since salt was applied to the environemnt and not changed. After 12 weeks until the end of the study, there were 0 Bd zoospores found and the infection matrix was used. ",2018,"Other chemical","Litoria aurea","Ranoidea","Hylidae","Anura",108,"Semi-aquatic",6821,"Day/Night",-34.6130868005,"Temperate","Aquatic","Hylidae"
"315","Ranoidea aurea",138,"2015 - Stockwell et al (b)","Hunter Wetland Centre, Australia","Hunter Wetland Centre, Australia","32°52'34""S","151°41'45""E",NA,"In situ",240,"Larvae","Chemical","Sodium","Sodium chloride","Habitat","Fencing","Fencing",365,"N","H","Y","Prevelance matrix",3,NA,1,2,"Prophylactic","4 ppt","The body size of the tadpoles were smaller, and the lower relative abundance of another amphibian species (L. fallax), dragonfly larvae, and damselfly larvae. Approximately 160% difference between control and treatment group, but approximately only 3% tesed positive for Bd. The results were interepreted from a figure. This received a yes for scalabiliy since the application of NaCI was once, and lasted for at least one year.  Since there was no control of either infected individuals or and extant population, this received a 3 for utility. ",2015,"Other chemical","Litoria aurea","Ranoidea","Hylidae","Anura",108,"Semi-aquatic",6821,"Day/Night",-34.6130868005,"Temperate","Aquatic","Hylidae"
"316","Ranoidea caerulea",117,"2009 - Berger et al","Amphibian Research Centre, Australia",NA,"","",NA,"Ex situ",9,"Juvenile","Chemical","Antifungal","Fluconazole",NA,NA,NA,3,"N","I","Y","Survivability matrix",1,NA,0,1,"Therapeutic","25 mg/L","While survivabillty increased compared to the untreated group, all of the subjects died of chytridiomycosis. This paper did not provide any zoospore count or infection load, thus the efficacy was calculated with the survivability matrix. There were no vibile sideeffects related to the treatment, and all deaths occured due to Bd infections. ",2009,"Other chemical","Litoria caerulea","Ranoidea","Hylidae","Anura",110,"bushes/trees",2303,"Diurnal",-22.3699158684,"Tropical","Terrestrial","Hylidae"
"317","Ranoidea caerulea",120,"2009 - Berger et al","Amphibian Research Centre, Australia",NA,"","",NA,"Ex situ",9,"Juvenile","Chemical","Disinfectant","Benzalkonium chloride",NA,NA,NA,7,"N","I","Y","Survivability matrix",1,NA,0,1,"Therapeutic","1 mg/L","While survivabillty increased compared to the untreated group, all of the subjects died of chytridiomycosis. This paper did not provide any zoospore count or infection load, thus the efficacy was calculated with the survivability matrix. There were no vibile sideeffects related to the treatment, and all deaths occured due to Bd infections. ",2009,"Other chemical","Litoria caerulea","Ranoidea","Hylidae","Anura",110,"bushes/trees",2303,"Diurnal",-22.3699158684,"Tropical","Terrestrial","Hylidae"
"318","Ranoidea caerulea",119,"2009 - Berger et al","Amphibian Research Centre, Australia",NA,"","",NA,"Ex situ",9,"Juvenile","Chemical","Disinfectant","Benzalkonium chloride",NA,NA,NA,3,"N","I","Y","Survivability matrix",1,NA,0,1,"Therapeutic","1 mg/L","While survivabillty increased compared to the untreated group, all of the subjects died of chytridiomycosis. This paper did not provide any zoospore count or infection load, thus the efficacy was calculated with the survivability matrix. There were no vibile sideeffects related to the treatment, and all deaths occured due to Bd infections. ",2009,"Other chemical","Litoria caerulea","Ranoidea","Hylidae","Anura",110,"bushes/trees",2303,"Diurnal",-22.3699158684,"Tropical","Terrestrial","Hylidae"
"319","Ranoidea caerulea",23,"2012 - Brannelly et al","Commercial supplier",NA,"","",NA,"Ex situ",9,"Juvenile","Chemical","Antifungal","Itraconazole",NA,NA,NA,11,"N","I","Y","Infection matrix",4,"No change",3,1,"Therapeutic","0.0001%","Where the subjects were acquired from was not provided other than ""commercial dealer."" It is unknown where these studies took place. The treatment cause""66%"" of the total population to die (not this dose specifically), which was a higher rate than the deaths from Bd itself in the Bd-pos control group. Survivability for this group was approx. 30%. The results were difficult to interpret from the diagram which was the only breakdown of survivability provided. The Bd load results were not provided indiviudally, but the study states that Bd was eliminated at this dose. High efficacy at eliminating Bd, but high mortality/low survivability. Infection matrix as used. ",2012,"Itraconazole","Litoria caerulea","Ranoidea","Hylidae","Anura",110,"bushes/trees",2303,"Diurnal",-22.3699158684,"Tropical","Terrestrial","Hylidae"
